name,category,instructions,glass,alcohol,Ingrediants
Green Devil,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1 1/2 oz  Green creme de menthe', 'Ingrediant 3': ' 1 oz  Lime Juice'}"
Greenback,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1 oz  Green creme de menthe', 'Ingrediant 3': ' 1 oz  Lemon Juice'}"
Grapefruit Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Grapefruit Juice', 'Ingrediant 2': ' 1 oz  Gin', 'Ingrediant 3': ' 1 oz  Maraschino'}"
Hotel D'Alsace,Whiskies,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with remaining half-sprig of rosemary.,Old-Fashioned Glass,Alcoholic,"{'Ingrediant 1': '1 oz Fresh rosemary sprig', 'Ingrediant 2': ' 2 oz  Irish Whiskey', 'Ingrediant 3': ' 1/2 oz  Benedictine', 'Ingrediant 4': ' 1/2 oz  Triple Sec'}"
Jamaica Granito,Brandy,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Brandy', 'Ingrediant 2': ' 1 oz  Triple Sec', 'Ingrediant 3': ' 1 oz  Lemon or Orange Sherbet', 'Ingrediant 4': '  Soda water', 'Ingrediant 5': '  Freshly grated nutmeg'}"
Gin Milk Punch,Cocktail Classics,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Powdered Sugar', 'Ingrediant 2': ' 2 oz  Gin', 'Ingrediant 3': ' 1 oz  Milk'}"
Horse'S Neck (With A Kick),Whiskies,Insert the lemon spiral in Collins glass with one end hanging over the rim. Fill glass with ice cubes. Add whiskey. Fill with ginger ale and stir well.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1 oz Wide spiral of lemon zest', 'Ingrediant 2': ' 2 oz  Bourbon whiskey', 'Ingrediant 3': ' 1 oz  Ginger ale'}"
Gin And It,Cocktail Classics,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 1 oz  Sweet Vermouth'}"
Gin Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a twist of lemon peel.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '2 oz Gin', 'Ingrediant 2': ' 2 oz  Bitters'}"
West Side,Vodka,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz lemon-flavored vodka', 'Ingrediant 2': ' 3/4 oz  Fresh lemon juice', 'Ingrediant 3': ' 1/2 oz  Simple Syrup', 'Ingrediant 4': ' 6  Fresh mint leaves', 'Ingrediant 5': '  Soda water'}"
Free Silver,Cocktail Classics,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,Alcoholic,"{'Ingrediant 1': '1/4 oz Juice of a Lemon', 'Ingrediant 2': ' 1/2 oz  Powdered Sugar', 'Ingrediant 3': ' 1 1/2 oz  Gin', 'Ingrediant 4': ' 1/2 oz  Dark rum', 'Ingrediant 5': ' 1 oz  Milk', 'Ingrediant 6': '  Club Soda'}"
Frankenjack Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 1/2 oz  Apricot Flavored Brandy', 'Ingrediant 4': ' 1 oz  Triple Sec', 'Ingrediant 5': ' 1/2 oz  Juice of a Lime', 'Ingrediant 6': ' 1 1/2 oz  Gin & ginger ale'}"
Fog Horn,Cocktail Classics,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Add a slice of lime.,Highball Glass,Alcoholic,"{'Ingrediant 1': '1/2 oz Juice of a Lime', 'Ingrediant 2': ' 1 1/2 oz  Gin & ginger ale', 'Ingrediant 3': ' 2 oz  Gin', 'Ingrediant 4': ' 1 oz  Triple Sec'}"
Hoot Mon Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Blended Scotch Whiskey', 'Ingrediant 2': ' 3/4 oz  Sweet Vermouth', 'Ingrediant 3': ' 1 oz  Benedictine', 'Ingrediant 4': '  Lemon twist'}"
Fifty-Fifty Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 1/2 oz Gin', 'Ingrediant 2': ' 1 1/2 oz  Dry Vermouth'}"
Favorite Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '3/4 oz Apricot Flavored Brandy', 'Ingrediant 2': ' 3/4 oz  Dry Vermouth', 'Ingrediant 3': ' 3/4 oz  Gin', 'Ingrediant 4': ' 1/4 oz  Lemon Juice'}"
Farmer'S Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,Alcoholic,"{'Ingrediant 1': '1 oz Gin', 'Ingrediant 2': ' 1/2 oz  Dry Vermouth', 'Ingrediant 3': ' 1/2 oz  Sweet Vermouth', 'Ingrediant 4': ' 2 oz  Bitters'}"
